"TAX","Revenue category","GOV","Level of government","YEA","Year","Value","Flag Codes","Flags"
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2006","2006",12535.998,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2007","2007",14319.907,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2008","2008",16295.871,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2009","2009",12892.669,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2010","2010",16192.35,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2011","2011",18676.228,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2012","2012",18749.578,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2013","2013",20382.129,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2014","2014",19921.539,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2015","2015",17934.23,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2016","2016",20233.641,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2017","2017",21710.645,,
"TOTALNONTAX","Total non-tax revenue","FED","Federal or Central government","2018","2018",27761.475,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1990","1990",0,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1991","1991",0,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1992","1992",0,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1993","1993",0,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1994","1994",0,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1995","1995",134.804,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1996","1996",145.63,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1997","1997",264.88,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1998","1998",521.069,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1999","1999",452.321,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2000","2000",636.573,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2001","2001",979.854,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2002","2002",1143.38,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2003","2003",1090.372,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2004","2004",965.852,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2005","2005",1117.905,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2006","2006",1270,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2007","2007",1285,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2008","2008",1993,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2009","2009",1844,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2010","2010",1012,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2011","2011",1480,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2012","2012",1965.748,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2013","2013",2335.31,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2014","2014",1959.868,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2015","2015",1467.235,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2016","2016",1799.53,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2017","2017",1282.904,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2018","2018",1332.225,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1990","1990",0,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1991","1991",0,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1992","1992",0,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1993","1993",0,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1994","1994",1061.458,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1995","1995",1880.909,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1996","1996",2212.184,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1997","1997",1379.373,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1998","1998",1959.245,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","1999","1999",1819.9,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2000","2000",1378.028,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2001","2001",1475.548,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2002","2002",2910.473,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2003","2003",3008.272,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2004","2004",2921.434,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2005","2005",5207.756,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2006","2006",5993.025,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2007","2007",6851.07,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2008","2008",7524.686,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2009","2009",3651.459,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2010","2010",8169.73,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2011","2011",10340.305,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2012","2012",10220.073,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2013","2013",11171.732,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2014","2014",12102.42,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2015","2015",10112.54,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2016","2016",11188.715,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2017","2017",12725.55,,
"NTR_B","Non-tax revenue: Property income","FED","Federal or Central government","2018","2018",16845.028,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","1994","1994",224.913,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","1995","1995",217.079,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","1996","1996",146.427,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","1997","1997",157.62,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","1998","1998",190.896,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","1999","1999",0,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2000","2000",0,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2001","2001",87.251,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2002","2002",163.07,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2003","2003",124.154,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2004","2004",105.822,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2005","2005",271.205,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2006","2006",159.46,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2007","2007",312.202,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2008","2008",977.729,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2009","2009",853.939,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2010","2010",4448.478,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2011","2011",5786.518,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2012","2012",5122.852,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2013","2013",6647.729,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2014","2014",5489.365,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2015","2015",3771.85,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2016","2016",5948.363,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2017","2017",7834.302,,
"NTR_BA","Non-tax revenue: Rents and royalties","FED","Federal or Central government","2018","2018",9048.599,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","1994","1994",836.545,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","1995","1995",1663.83,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","1996","1996",2065.757,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","1997","1997",1221.753,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","1998","1998",1768.349,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","1999","1999",1819.9,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2000","2000",1378.028,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2001","2001",1388.297,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2002","2002",2747.403,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2003","2003",2884.118,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2004","2004",2815.612,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2005","2005",4936.551,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2006","2006",5833.565,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2007","2007",6538.868,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2008","2008",6546.957,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2009","2009",2797.52,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2010","2010",3721.252,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2011","2011",4553.787,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2012","2012",5097.221,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2013","2013",4524.003,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2014","2014",6613.055,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2015","2015",6340.69,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2016","2016",5240.352,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2017","2017",4891.248,,
"NTR_BB","Non-tax revenue: Interest and dividends","FED","Federal or Central government","2018","2018",7796.429,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","1994","1994",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","1995","1995",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","1996","1996",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","1997","1997",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","1998","1998",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","1999","1999",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2000","2000",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2001","2001",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2002","2002",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2003","2003",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2004","2004",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2005","2005",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2006","2006",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2007","2007",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2008","2008",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2009","2009",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2010","2010",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2011","2011",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2012","2012",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2013","2013",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2014","2014",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2015","2015",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2016","2016",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2017","2017",0,,
"NTR_BC","Non-tax revenue: Other property income","FED","Federal or Central government","2018","2018",0,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1990","1990",0,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1991","1991",0,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1992","1992",0,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1993","1993",0,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1994","1994",708.895,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1995","1995",600.281,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1996","1996",1119.728,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1997","1997",1647.987,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1998","1998",1616.451,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","1999","1999",1893.997,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2000","2000",2006.201,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2001","2001",2449.26,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2002","2002",966.335,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2003","2003",2448.943,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2004","2004",2107.533,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2005","2005",2242.736,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2006","2006",2654.047,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2007","2007",2841.309,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2008","2008",3392.687,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2009","2009",2313.946,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2010","2010",2334.548,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2011","2011",2893.829,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2012","2012",2619.605,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2013","2013",1671.108,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2014","2014",1662.763,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2015","2015",2158.711,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2016","2016",2591.658,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2017","2017",2628.797,,
"NTR_C","Non-tax revenue: Sales of goods and services","FED","Federal or Central government","2018","2018",2320.696,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1990","1990",0,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1991","1991",0,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1992","1992",0,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1993","1993",0,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1994","1994",111.641,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1995","1995",124.459,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1996","1996",165.546,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1997","1997",133.931,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1998","1998",79.211,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","1999","1999",110.978,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2000","2000",113.807,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2001","2001",162.757,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2002","2002",185.188,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2003","2003",344.109,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2004","2004",387.846,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2005","2005",279.89,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2006","2006",2618.378,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2007","2007",3338.357,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2008","2008",3093.893,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2009","2009",4845.749,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2010","2010",4425.177,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2011","2011",3601.798,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2012","2012",3372.662,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2013","2013",4781.503,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2014","2014",3646.565,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2015","2015",3665.065,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2016","2016",4206.162,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2017","2017",4785.897,,
"NTR_D","Non-tax revenue: Fines, penalties and forfeits","FED","Federal or Central government","2018","2018",6877.292,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1990","1990",0,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1991","1991",0,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1992","1992",0,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1993","1993",0,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1994","1994",1.01,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1995","1995",123.294,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1996","1996",139.027,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1997","1997",168.808,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1998","1998",456,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","1999","1999",0,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2000","2000",0,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2001","2001",0,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2002","2002",117.495,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2003","2003",130.121,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2004","2004",85.877,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2005","2005",50.234,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2006","2006",0.548,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2007","2007",4.171,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2008","2008",291.605,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2009","2009",237.515,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2010","2010",250.895,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2011","2011",360.296,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2012","2012",571.49,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2013","2013",422.477,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2014","2014",549.922,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2015","2015",530.678,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2016","2016",447.576,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2017","2017",287.497,,
"NTR_E","Non-tax revenue: Miscellaneous and unidentified revenue","FED","Federal or Central government","2018","2018",386.234,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1990","1990",71355.622,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1991","1991",77128.129,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1992","1992",81330.224,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1993","1993",93248.899,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1994","1994",109752.401,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1995","1995",124648.99,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1996","1996",144829.179,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1997","1997",161886.403,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1998","1998",183218.029,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","1999","1999",199597.575,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2000","2000",215059.179,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2001","2001",251708.047,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2002","2002",282716.057,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2003","2003",296175.305,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2004","2004",338411.052,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2005","2005",402884,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2006","2006",485308.721,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2007","2007",573278.595,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2008","2008",635290.214,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2009","2009",616002.954,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2010","2010",672886.46,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2011","2011",760851.17,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2012","2012",826563.766,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2013","2013",911137.717,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2014","2014",997383.122,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2015","2015",1115470.799,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2016","2016",1181068.497,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2017","2017",1251062.688,,
"TOTALNOGRANTS","Total tax and non-tax revenue excluding grants","FED","Federal or Central government","2018","2018",1344733.835,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2003","2003",14.4,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2004","2004",17.7,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2005","2005",23.2,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2006","2006",21.4,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2007","2007",24.1,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2008","2008",19.2,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2009","2009",47,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2010","2010",31.214,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2011","2011",23.1,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2012","2012",54.555,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2013","2013",56.968,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2014","2014",56.571,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2015","2015",59.8,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2016","2016",62.6,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2017","2017",103.074,,
"5213","5213 Recurrent taxes paid on use of goods and perform activities other than on motor vehicles","STATE","State/Regional","2018","2018",118.432,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1990","1990",16314.848,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1991","1991",14366.82,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1992","1992",12220.424,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1993","1993",12338.226,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1994","1994",12972.368,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1995","1995",14427.237,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1996","1996",18675.453,,
